Year,Date,State,GeoRegion,ColonyName,SpeciesCode,Longitude_y,Latitude_y,Nests,Birds
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island South,BRPE,-82.4719,27.1412,6,8
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island South,DCCO,-82.4719,27.1412,8,13
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island South,GBHE,-82.4719,27.1412,1,1
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island South,GREG,-82.4719,27.1412,14,15
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island South,UNWA,-82.4719,27.1412,0,3
2010,2010-Jun-10,FL,Tampa Bay,Cortez Island,BRPE,-82.6824,27.462,25,25
2010,2010-Jun-10,FL,Tampa Bay,Cortez Island,DCCO,-82.6824,27.462,210,210
2010,2010-Jun-10,FL,Tampa Bay,Cortez Island,GBHE,-82.6824,27.462,3,3
2010,2010-Jun-10,FL,Tampa Bay,Cortez Island,GREG,-82.6824,27.462,254,193
2010,2010-Jun-10,FL,Tampa Bay,Cortez Island,MAFR,-82.6824,27.462,0,21
2010,2010-Jun-10,FL,Tampa Bay,Dryman Bay Island,BRPE,-82.49209999999998,27.1739,20,38
2010,2010-Jun-10,FL,Tampa Bay,Dryman Bay Island,DCCO,-82.49209999999998,27.1739,4,8
2010,2010-Jun-10,FL,Tampa Bay,Dryman Bay Island,GBHE,-82.49209999999998,27.1739,0,1
2010,2010-Jun-10,FL,Tampa Bay,Dryman Bay Island,GREG,-82.49209999999998,27.1739,0,5
2010,2010-Jun-10,FL,Tampa Bay,Dryman Bay Island,LAGU,-82.49209999999998,27.1739,0,7
2010,2010-Jun-10,FL,Tampa Bay,Edwards Islands Southeast,BRPE,-82.5443,27.2936,139,142
2010,2010-Jun-10,FL,Tampa Bay,Edwards Islands Southeast,DCCO,-82.5443,27.2936,104,161
2010,2010-Jun-10,FL,Tampa Bay,Edwards Islands Southeast,GBHE,-82.5443,27.2936,14,7
2010,2010-Jun-10,FL,Tampa Bay,Edwards Islands Southeast,GREG,-82.5443,27.2936,418,109
2010,2010-Jun-10,FL,Tampa Bay,Edwards Islands Southeast,UNWA,-82.5443,27.2936,0,0
2010,2010-Jun-10,FL,Tampa Bay,Egmont Key,BRPE,-82.7596,27.5793,598,615
